[2025-11-06 13:43:10] 未发现按钮，未执行点击
[2025-11-07 02:48:05] 按钮已点击，已等待45秒完成
[2025-11-07 03:04:15] [轻量检查] 应用已唤醒，跳过点击
[2025-11-07 06:53:29] [轻量检查] 应用已唤醒，跳过点击
[2025-11-07 09:12:34] [轻量检查] 应用已唤醒，跳过点击
[2025-11-07 09:36:26] [轻量检查] 应用已唤醒，跳过点击
[2025-11-07 10:42:02] [轻量检查] 应用已唤醒，跳过点击
[2025-11-07 11:29:15] [轻量检查] 应用已唤醒，跳过点击
[2025-11-07 11:42:56] [轻量检查] 应用已唤醒，跳过点击
[2025-11-07 13:35:45] [轻量检查] 应用已唤醒，跳过点击
[2025-11-07 14:40:16] [轻量检查] 应用已唤醒，跳过点击
[2025-11-07 15:37:26] [轻量检查] 应用已唤醒，跳过点击
[2025-11-07 16:44:41] [轻量检查] 应用已唤醒，跳过点击
[2025-11-07 17:34:00] [轻量检查] 应用已唤醒，跳过点击
[2025-11-07 18:47:10] [轻量检查] 应用已唤醒，跳过点击
[2025-11-07 19:29:04] [轻量检查] 应用已唤醒，跳过点击
[2025-11-07 19:40:19] [轻量检查] 应用已唤醒，跳过点击
[2025-11-07 20:33:02] [轻量检查] 应用已唤醒，跳过点击
[2025-11-07 21:26:55] [轻量检查] 应用已唤醒，跳过点击
[2025-11-07 21:42:42] [轻量检查] 应用已唤醒，跳过点击
[2025-11-07 22:35:57] [轻量检查] 应用已唤醒，跳过点击
[2025-11-07 23:29:55] [轻量检查] 应用已唤醒，跳过点击
[2025-11-07 23:41:45] [轻量检查] 应用已唤醒，跳过点击
[2025-11-08 03:14:49] [轻量检查] 应用已唤醒，跳过点击
[2025-11-08 03:53:27] [轻量检查] 应用已唤醒，跳过点击
[2025-11-08 04:39:38] [轻量检查] 应用已唤醒，跳过点击
[2025-11-08 05:34:44] [轻量检查] 应用已唤醒，跳过点击
[2025-11-08 06:48:41] [轻量检查] 应用已唤醒，跳过点击
[2025-11-08 07:28:14] [轻量检查] 应用已唤醒，跳过点击
[2025-11-08 07:40:00] [轻量检查] 应用已唤醒，跳过点击
[2025-11-08 08:41:10] [轻量检查] 应用已唤醒，跳过点击
[2025-11-08 09:30:27] [轻量检查] 应用已唤醒，跳过点击
